moji,name,name-ja,category,unicode,attribution,alts/0,alts/1,url,alto/0,emoticon,contributor,1: :name:
,assault_rifle,アサルトライフル,tools,,,,,,,,,169: :assault_rifle:
,sun_with_face,顔太陽,nature,,,,,,,,,170: :sun_with_face:
,rainbow_solid,虹[不透明],nature,,,,,,,,,171: :rainbow_solid:
,rainbow_sky,虹空,nature,,,,,,,,,172: :rainbow_sky:
,jumping_spider,ハエトリグモ,nature,,,,,,,,,173: :jumping_spider:
,jumping_spider_red,ハエトリグモ(赤),nature,,,,,,,,,174: :jumping_spider_red:
,family_daughters,家族2,people,,,,,,,,,175: :family_daughters:
,couple_in_love,手をつないだカップルとハート,people,,,,,,,,,176: :couple_in_love:
,two_men_in_love,手をつないだ二人の男性とハート,people,,Michael Dandy,,,,,,,177: :two_men_in_love:
,two_men_with_heart,二人の男性とハート,people,,,,,,,,,178: :two_men_with_heart:
,two_women_in_love,手をつないだ二人の女性とハート,people,,,,,,,,,179: :two_women_in_love:
,two_women_with_heart,二人の女性とハート,people,,,,,,,,,180: :two_women_with_heart:
,ninja,忍者,people,,,,,,,,,181: :ninja:
,quoll,フクロネコ,nature,,Peter Halasz,,,,,,,182: :quoll:
,palm_pre3,HP Palm Pre 3,object,,Donald C. Kirker and webOS-Ports,,,,,,,183: :palm_pre3:
,cutting_lines,カミソリ,object,,Key Bump Apparel,,,,,,,184: :cutting_lines:
,scuba_diver,スキューバダイバー,people,,fidelinho,,,,,,,185: :scuba_diver:
,penguin_chick,子どもペンギン,nature,,,,,,,,,186: :penguin_chick:
,pegasus_black,ペガサス(黒),nature,,"Mark Atwood, the FallenPegasusbin",,,,,,,187: :pegasus_black:
,puke_finger,嘔吐,gesture,,Naya J.,,,,,,,188: :puke_finger:
,shit,うんち,abstract,,Adam Neuwirth,,,,,,,189: :shit:
,Happy_FMC,Happy FMC,transportation,,The Grape,,,,,,,190: :Happy_FMC:
,lambda_chi_alpha,Lambda Chi Alpha,food,,Vander Vander Gamma Iota Zeta,,,,,,,191: :lambda_chi_alpha:
,apple_of_discord,不和の林檎,object,,Jo-Herman Haughol,,,,,,,192: :apple_of_discord:
,gentleman_octopus,紳士蛸,nature,,nickythegreek,,,,,,,193: :gentleman_octopus:
,monster,怪物,nature,,Themonsterfactory.com,,,,,,,194: :monster:
,sunrise_over_mountains,Pacific Crest Trailからの日の出,nature,,Justin Kazmark,,,,,,,195: :sunrise_over_mountains:
,bgok,ニワトリ(鳴き),nature,,https://github.com/bgok,,,,,,,196: :bgok:
,phone_book,電話帳,object,,Rod Dorman,,,,,,,197: :phone_book:
,oars,櫂,transportation,,Bridge,,,,,,,198: :oars:
,siamese_kitten,シャム,nature,,njx,,,,,,,199: :siamese_kitten:
,one_eyed_robot,ロボット,object,,Mr. Daniel Scott Fowler,,,,,,,200: :one_eyed_robot:
,octocat,オクトキャット,object,,Josh Vera,,,,,,,201: :octocat:
,DSLR_click,一眼レフ,object,,A.Tabisz,,,,,,,202: :DSLR_click:
,high_hopes,大きな望み,nature,,Meniou,,,,,,,203: :high_hopes:
,cookie_fairy,クッキーの妖精,people,,Onery,,,,,,,204: :cookie_fairy:
,apngasm,apngasm,logos,,,,,,,,,205: :apngasm:
,smiley_confused,スマイリー(困る),faces,,,,,,,,,206: :smiley_confused:
,smiley_kissing_heart,スマイリー(投げキッス),faces,,,,,,,,,207: :smiley_kissing_heart:
,smiley_sleeping,スマイリー(眠い),faces,,,,,,,,,208: :smiley_sleeping:
,smiley_smile,スマイリー(嬉しい顔),faces,,,,,,,,,209: :smiley_smile:
,smiley_stuck_out_tongue_winking_eye,スマイリー(あっかんべー),faces,,,,,,,,,210: :smiley_stuck_out_tongue_winking_eye:
,ksroom,K's Room Company,logos,,Ken Ishimoto,,,,,,,211: :ksroom:
,ocean_dive_view,Ocean Dive View,logos,,ocean dive academy new jersey usa,,,,,,,212: :ocean_dive_view:
,Kagetsuki,影月,individuals,,,,,http://zero.幻信.org,,,影月零,213: :Kagetsuki:
,Giorgio,ジョルジョ,individuals,,,,,,,,Giorgio,214: :Giorgio:
,happijar,ハッピジャー,logos,,happijar,grateful,,http://happijar.com,,,,215: :happijar:
,groupme,groupme,logos,,,,,http://groupme.com,,,groupme,216: :groupme:
,ruby,ruby,logos,,,,,http://www.ruby-lang.org,,,,217: :ruby:
,GAKUEngine,学園陣,logos,,,,,http://gakuengine.com,,,,218: :GAKUEngine:
,genshin,幻信,logos,,,,,http://genshin.org,,,幻信創造株式会社[Phantom Creation Inc.],219: :genshin:
